-42,-60
70,-33
81,77
6,-51
61,61
42,-76
-10,-51
6,38
84,36
12,-67
-86,42
74,-54
33,30
33,77
27,100
51,62
98,-83
-41,-76
63,-76
27,51
-65,21
84,-2
24,-49
-59,-25
51,8
52,52
-11,59
-4,-85
49,-42
36,-83
14,-100
13,13
-82,7
8,-86
50,68
12,72
58,-17
67,29
13,-23
95,-75
-67,-24
76,93
69,-42
1,-5
19,-71
-94,-78
13,-84
-96,23
15,-12
34,17
-66,-30
-52,-32
-67,4
-39,79
-61,43
-4,85
85,37
-63,40
-41,70
78,-24
-90,39
-62,-59
28,-70
-62,27
96,78
-75,-84
41,17
15,-20
-34,-13
-9,-6
1,100
-83,-48
-31,-67
-32,68
80,49
-21,-38
-11,1
-93,25
54,71
78,67
-8,-56
54,74
-91,-51
-55,48
100,90
68,20
14,54
-78,-88
-26,50
-43,-62
90,-85
25,-65
52,-3
46,16
-78,5
61,81
47,89
36,-40
89,51
39,3
-20,97
-44,-9
12,-66
28,48
13,22
-29,14
51,19
-97,-28
8,40
58,-57
82,-50
2,94
-63,65
-24,33
-41,-59
-21,-26
-15,51
-99,-52
55,-59
25,-67
-93,-86
-61,58
41,55
80,49
89,-15
-82,46
-9,65
-32,25
35,64
35,-59
-87,-8
7,-15
-8,31
4,-91
14,-3
81,35
2,50
64,10
-26,63
-28,30
43,-56
68,-65
-69,46
5,96
55,-68
52,-65
-35,-84
-67,-62
22,-40
41,95
-18,-22
-81,-85
-39,-17
10,17
-39,31
-13,72
-58,49
24,34
16,-60
-71,15
11,-56
-75,51
-57,-27
-63,52
-5,3
68,-81
69,100
45,32
-35,-80
-82,9
-50,82
82,39
-37,-100
-43,-51
-49,-64
-73,-24
48,32
32,-80
93,-44
-25,26
-35,-19
-15,-11
4,-81
-88,-71
-83,-93
-5,-73
98,100
-2,76
26,-71
-77,86
85,-24
-54,90
30,-40
10,-22
93,16
-46,49
86,-57
-10,-96
-64,-50
-32,61
36,41
-87,91
-15,86
29,25
-58,13
38,42
-30,-79
-98,-64
-71,-57
-29,38
24,32
-28,11
48,-10
-77,59
32,37
11,-41
57,55
23,19
2,8
57,17
61,68
86,5
-17,5
90,5
51,42
95,-79
-3,48
77,-97
54,61
-88,46
77,-30
17,51
36,-75
-65,15
-27,-35
-91,88
44,67
-74,-33
-74,-11
-38,68
4,-48
22,26
-65,23
96,-5
21,-49
-57,40
78,89
-72,70
-43,75
-77,-8
-80,10
5,-50
71,19
76,97
1,-25
-55,1
-76,18
78,-36
-25,94
27,53
-11,84
79,18
56,71
53,24
-90,-29
-51,53
-89,-76
-79,37
36,-30
-65,-23
53,20
39,-29
71,36
39,-75
94,-93
24,-47
-80,-59
41,-53
57,-60
68,34
-95,-72
24,81
6,57
-3,49
-34,15
-39,-32
-73,-82
3,33
11,31
-39,-97
55,80
26,38
93,33
26,1
-65,68
26,-100
75,94
40,-39
-95,71
-44,-14
-9,-96
84,32
94,8
-27,-58
42,86
-30,81
74,-41
-76,-29
100,-80
98,-76
-28,-43
-60,-73
78,74
-50,-13
-90,-5
81,-40
-30,12
-97,-85
48,-26
45,-56
-35,-93
53,29
-38,34
-5,90
55,21
-8,74
73,67
-1,-99
75,99
-12,22
-50,-4
16,-48
74,-26
85,-23
88,43
94,-17
-82,73
75,-74
-42,-50
70,38
-7,-31
-92,-5
-50,-2
-45,-81
-43,66
35,-66
-24,-14
-6,49
-5,50
-34,-48
-58,-16
-49,88
-59,-19
-42,-68
-84,87
-46,-55
66,67
-82,23
-64,90
-67,-44
-73,91
61,-9
-48,9
-4,32
-48,-31
-45,-23
-38,-88
32,-10
12,88
-100,11
-87,-35
26,41
-52,52
-34,87
-7,29
25,90
-81,-42
-100,38
59,71
-16,-21
67,77
-81,-22
-90,84
-93,-96
0,85
-34,-91
45,58
31,37
26,-99
49,-85
85,48
91,88
-25,83
50,-66
-97,-92
90,48
-6,-17
6,80
-37,-98
-70,-42
-78,-88
-100,-25
20,-29
73,-43
6,41
52,34
16,-81
-48,6
57,-78
76,-81
-98,6
6,-94
99,-64
26,-4
-74,-87
5,-52
98,-50
94,-54
-30,71
40,-95
-81,-63
-80,-56
-16,-44
21,9
42,-22
19,24
-94,-6
-2,-93
70,17
58,43
22,7
15,-9
-38,24
29,-42
45,54
-21,81
-92,-97
67,-41
27,25
49,-56
-60,1
-10,88
-39,44
-100,98
-88,-34
52,-84
86,13
16,67
81,5
38,-63
19,-44
-96,-18
48,96
-24,-23
-10,-77
-13,-48
61,-16
-44,-74
-40,67
-82,18
-51,-40
25,-83
-17,-90
24,78
-73,7
-66,10
76,-21
11,0
-92,-92
-4,94
-58,9
-71,79
54,-41
-32,-37
-15,-70
17,-92
26,21
61,-62
-21,20
28,7
-93,-13
0,81
16,44
49,9
0,-8
-48,1
-28,-32
-50,42
64,5
-67,7
-37,32
-64,96
-100,13
-81,61
-26,1
-11,-70
-67,-50
-21,59
76,32
-52,-15
-61,30
-73,-27
-26,39
94,74
-23,51
39,67
24,-84
-8,-1
55,43
23,-39
84,67
30,17
46,-70
84,55
86,-42
-4,8
69,-46
89,89
82,3
-34,95
-19,58
-71,-66
-83,84
60,-57
88,64
56,-79
36,-31
48,-66
-13,28
9,-40
-81,-20
56,37
51,-63
57,19
38,-19
-48,-88
-7,37
-70,7
22,-41
-15,-68
-83,73
-4,3
-13,2
-100,42
37,-36
96,62
54,18
-41,-71
52,-1
-71,25
-5,43
-2,36
43,43
27,73
-77,-72
-15,74
-19,-86
57,61
-92,4
31,-7
-14,-78
-25,44
-9,-88
-92,36
-23,-3
70,-39
-64,-6
22,61
78,-30
73,-95
33,-95
39,-33
36,62
-53,-46
-13,-40
27,-67
-56,-76
-67,-14
47,54
68,2
41,43
-85,87
60,-4
-95,87
-25,-34
-1,90
-19,-34
99,-97
-46,52
31,-71
29,-5
72,100
-62,24
-68,-41
-46,-9
-21,-34
-28,80
-42,37
-14,-60
-96,98
-81,16
-5,-18
7,-90
92,71
-73,56
-53,29
60,-19
95,35
-80,-64
3,26
82,0
-60,-40
26,-94
-17,52
-51,81
40,-24
19,-63
-78,-50
-13,98
-92,-61
66,79
-5,82
-71,-70
7,-36
-47,6
38,50
-8,-100
37,-85
-26,-41
15,-33
3,-8
-92,93
99,19
-84,-53
-6,23
0,93
3,-10
-46,-74
99,1
85,2
23,39
4,74
87,67
100,42
-94,-83
-31,6
22,11
65,-78
100,-31
-23,-77
-62,-79
5,-11
93,88
65,-25
48,96
-31,-31
35,57
-64,-54
-26,14
-53,66
28,-97
28,-18
96,6
47,24
88,-53
-25,20
-57,-8
-91,-4
-4,-84
35,50
86,56
77,-20
8,-42
-60,-87
90,-3
-34,-18
69,88
27,-81
-61,-3
-56,49
43,-40
44,-22
-58,-55
86,-34
-100,71
56,-43
-72,80
-6,28
92,62
-14,3
80,9
94,-95
73,80
82,15
74,-55
26,-48
73,57
-9,-78
99,66
60,49
-92,-19
-39,-91
-87,95
63,13
-65,-66
-83,45
12,2
57,20
9,-62
-16,76
61,-46
-73,-18
-7,-73
92,-23
-7,-34
-54,85
56,-76
78,92
0,-23
11,-74
-79,-7
41,60
-24,60
-57,18
-38,-39
-25,95
60,79
55,67
-63,-99
94,62
20,4
7,5
73,24
-6,-96
-32,-55
-78,52
-51,98
-65,58
78,21
1,85
-76,91
-13,56
54,100
-23,37
-33,-35
7,91
-6,88
86,45
28,42
-43,-78
5,-34
59,-34
39,-61
49,50
45,51
63,96
25,-84
-3,-52
50,-40
46,27
57,-59
-89,-39
-53,56
-12,-71
95,-7
92,-62
-72,-50
44,-59
-80,77
99,39
14,69
-84,14
-97,67
70,-61
77,-56
-42,45
-96,96
-41,-18
-63,-92
94,67
-16,-80
-1,-86
-21,-53
68,-52
48,87
68,25
-43,-58
-75,-89
-85,13
-65,6
-34,66
2,11
-82,-66
-27,35
35,-30
-45,-23
-98,-68
-70,22
-4,-47
-95,37
-11,4
6,-11
49,79
24,-57
-61,79
-16,-99
-9,99
20,-74
28,14
36,15
-67,-72
78,59
-5,-43
21,14
54,-96
78,-32
46,-94
42,-84
89,26
-92,-38
-27,29
80,-4
22,-50
35,95
94,-64
-97,2
