54,81,11
80,97,65
59,99,82
75,27,75
17,43,16
28,66,28
35,77,24
93,42,30
19,23,11
94,19,34
51,72,76
33,98,21
39,71,97
80,97,65
52,24,46
93,54,41
27,73,88
17,10,55
95,87,74
95,80,28
18,71,69
77,35,88
50,29,18
46,16,71
35,34,37
18,59,71
41,36,39
23,67,11
42,86,21
50,79,24
81,47,50
77,24,74
74,12,46
19,50,76
98,77,40
75,27,75
66,92,95
78,67,33
53,12,30
27,73,88
75,27,75
86,31,63
24,18,58
57,87,51
47,51,72
90,95,18
27,73,88
28,66,28
56,16,86
85,10,69
89,53,70
83,83,24
56,61,38
85,45,13
76,47,47
36,30,88
23,67,11
64,20,25
89,45,59
23,67,11
76,47,47
75,27,75
27,73,88
27,73,88
88,65,66
37,97,35
27,73,88
74,68,38
91,57,96
17,43,16
79,37,62
76,97,89
28,66,28
98,77,40
38,38,97
76,47,47
76,47,47
92,65,18
96,76,94
66,54,85
36,44,99
49,27,90
66,54,85
52,51,87
98,93,47
97,91,44
22,11,77
18,59,71
28,66,28
87,74,55
33,65,59
56,16,86
74,68,38
74,68,38
83,90,75
42,15,23
62,76,61
92,65,18
80,44,28
69,69,67
85,45,13
23,26,45
26,14,54
19,80,35
11,54,90
99,71,14
99,10,55
53,63,50
15,98,60
47,70,77
94,38,91
23,44,77
21,58,36
77,24,74
67,13,96
27,73,88
58,96,32
94,19,34
88,88,21
28,66,28
80,44,28
56,18,10
37,61,54
82,99,75
49,27,90
92,65,18
57,87,51
22,35,34
74,68,38
61,54,18
22,35,34
27,73,88
97,91,44
88,88,21
36,30,88
90,95,18
31,75,36
17,43,16
74,46,96
87,74,55
64,82,31
66,54,85
87,74,55
80,61,86
62,77,27
66,50,89
87,74,55
18,59,71
92,65,18
28,66,28
18,59,71
12,32,59
95,94,41
33,98,21
27,73,88
20,51,66
59,87,54
22,31,19
51,53,15
93,54,41
87,74,55
40,65,42
98,77,40
53,63,50
27,73,88
97,91,44
36,30,88
67,54,57
93,42,30
98,77,40
69,22,53
37,97,35
92,65,18
23,67,11
34,50,41
23,67,11
62,77,27
67,54,57
57,79,52
18,59,71
90,20,20
95,87,74
19,50,76
94,38,91
90,51,25
26,26,49
87,74,55
99,71,14
90,20,20
28,66,28
99,71,14
66,50,89
75,27,75
97,91,44
94,64,95
92,74,71
28,66,28
27,73,88
76,97,89
47,70,77
95,45,72
92,65,18
18,71,69
97,50,20
87,74,55
90,51,25
76,47,47
53,63,50
22,31,19
55,58,91
83,83,24
75,27,75
12,32,59
50,29,18
42,94,79
22,31,19
15,81,68
39,80,55
99,10,55
61,54,18
98,25,47
42,94,79
19,50,76
11,54,90
95,94,41
47,70,77
23,67,11
27,73,88
61,54,18
92,65,18
52,67,90
54,81,11
19,23,11
29,97,17
80,61,86
83,38,51
95,94,41
90,95,18
42,94,79
27,78,52
77,24,74
27,73,88
31,10,36
86,54,37
